"memberNumber","Recency","Frequency","Monetary","recency.log","frequency.log","monetary.log","recency.z","frequency.z","monetary.z","response","cluster"
4723,444.239583333333,6,459.666666666667,6.09636401900146,1.79175946922805,6.13050158912519,0.379908847006281,-0.561341000175034,-1.15700450355145,"no","1"
4724,340.239583333333,4,854.25,5.82965002631887,1.38629436111989,6.7502238909954,-0.273291319562768,-1.22704133988704,2.11921234635845,"no","3"
4725,250.239583333333,10,582,5.52241879228736,2.30258509299405,6.36647044773144,-1.02572088362929,0.277342241550171,0.0904657719037998,"yes","4"
4726,397.239583333333,8,615.125,5.9845395831305,2.07944154167984,6.42182549918614,0.10604342508847,-0.0890190924928684,0.383105155311875,"yes","2"
4727,261.239583333333,10,631,5.5654379300758,2.30258509299405,6.44730586254121,-0.920364176669748,0.277342241550171,0.517809353488677,"no","4"
4728,337.239583333333,10,572.8,5.820793607534,2.30258509299405,6.35053661564644,-0.294981273536679,0.277342241550171,0.0062301570114827,"no","4"
4729,488.239583333333,6,576.5,6.19080623483045,1.79175946922805,6.35697533970911,0.611204065116782,-0.561341000175034,0.0402690421740864,"no","2"
4730,622.239583333333,4,659.75,6.43332520078349,1.38629436111989,6.49186097538343,1.20514901477379,-1.22704133988704,0.753353904657488,"no","3"
4731,492.239583333333,6,597.333333333333,6.19896555596132,1.79175946922805,6.39247530486677,0.631186780939719,-0.561341000175034,0.227942752914729,"no","2"
4732,615.239583333333,2,497.5,6.4220117583409,0.693147180559945,6.20959555659865,1.17744164774125,-2.3650635872812,-0.73886723758449,"no","3"
4733,518.239583333333,9,530.555555555556,6.2504376514194,2.19722457733622,6.27392467557861,0.757245338980542,0.10435933953697,-0.398785651193308,"yes","2"
4734,260.239583333333,11,655.727272727273,5.56160268107764,2.39789527279837,6.4857449597053,-0.929756954526049,0.43382431067269,0.721021045958459,"no","4"
4735,495.239583333333,12,690.583333333333,6.20504165220922,2.484906649788,6.53753665106104,0.646067541567604,0.576681247219135,0.994822410526014,"no","2"
4736,384.239583333333,11,530.727272727273,5.95126627296428,2.39789527279837,6.27424827861569,0.0245548930310419,0.43382431067269,-0.397074895069864,"yes","2"
